area,Typeoflocation,time,Weather,typeofvehicle,ageofvehicle,natureofaccidents,causeofaccidents,accidentvictimsage,eduofdriver,accordingtoResponsibilitiesofDriver,speed,roadconditions,roadfeature,typeofjunction,typeoftrafficcontrol,OwnerofTypeofVehiclesandTypeofLicence,Gender,area
Ghodbander,near hospital,6am-9am,cloudy,"trucks ,tempos,tracto",4-6year,rear end collision,poor light,10-14years,above 10th std,cut in sharply after passing,>70,muddy/oily/slippery,4 Lanes or more with central divider,four arm junction,traffic light signal,owner of public commercial vehicle,male,Ghodbander
Vasant Vihar,near or inside a village,9am-12pm,heavy rain,3 wheeler,<1,collision brush/side swip,defect in road condition,65 and above,above 10th std,passed on hill,>70,Kutcha Roads,single lane,manned rail crossing,police controlled,learners licence,male,Vasant Vihar
Eastern Express Highway,near or inside a village,9pm-12am,cloudy,other motor vehicles,1-2year,rear end collision,defect in road condition,25-34years,above 10th std,on wrong side of the road,50-70,Surfaced Roads,two lane,staggered jucntion,police controlled,without licence,female,Eastern Express Highway
Vasant Vihar,narrow bridge or culverts,9pm-12am,light rain,"car/jeep/taxi,buses(4 wheeler)",1-2year,rear end collision,defect in condition of motor vehicle,35-44years,above 10th std,cut in sharply after passing,50-70,rutted/pot holes,4 Lanes or more with central divider,v junction,police controlled,without licence,male,Vasant Vihar
Eastern Express Highway,open area,3am-6am,cloudy,other motor vehicles,4-6year,skiding,poor light,6-9years,above 10th std,passed on curve,>70,speed breaker,3 Lanes or more without central Divider Median,unmanned rail crossing,traffic light signal,learners licence,male,Eastern Express Highway
Teen Hath Naka,near bus stop,12am-3am,heavy rain,3 wheeler,2-4year,overturning,poor light,45-54years,not known,passed on hill,>70,speed breaker,4 Lanes or more with central divider,manned rail crossing,stop sign,without licence,male,Teen Hath Naka
Kopri,near or inside a village,3am-6am,light rain,2 wheeler,8-10year,overturning,poor light,45-54years,9-10std,other improper passsing,30-50,road under construction/repair,4 Lanes or more with central divider,t junction,uncontolled,paid driver,male,Kopri
Ghodbander,near petrol pump,9am-12pm,heavy rain,3 wheeler,6-8year,collision brush/side swip,neglect of civic bodies,unknown age,above 10th std,did not give right of way to pedestrian,>70,Surfaced Roads,single lane,manned rail crossing,police controlled,learners licence,female,Ghodbander
Ghodbander,near school/college,6am-9am,fine,"car/jeep/taxi,buses(4 wheeler)",8-10year,skiding,fault of pedestrian,55-64years,9-10std,followed too closely,50-70,Wet road,4 Lanes or more with central divider,v junction,police controlled,others,female,Ghodbander
Kopri,narrow bridge or culverts,3pm-6pm,light rain,3 wheeler,>10,right turn collision,neglect of civic bodies,6-9years,not known,excceding lawful speed,>70,Kutcha Roads,single lane,t junction,flashing signal/blinker,regular licence,male,Kopri
Ghodbander,near bus stop,3am-6am,cloudy,2 wheeler,>10,overturning,fault of pedestrian,25-34years,9-10std,other improper passsing,<30,road under construction/repair,single lane,junction with >4 arms,stop sign,others,male,Ghodbander
Ghodbander,near a religious place,6am-9am,cloudy,2 wheeler,2-4year,right turn collision,poor light,65 and above,above 10th std,passed on hill,<30,Wet road,single lane,junction with >4 arms,uncontolled,paid driver,male,Ghodbander
Eastern Express Highway,in bazar,12pm-3pm,light rain,"trucks ,tempos,tracto",6-8year,skiding,defect in condition of motor vehicle,25-34years,above 10th std,followed too closely,>70,speed breaker,two lane,unmanned rail crossing,traffic light signal,others,female,Eastern Express Highway
Eastern Express Highway,near a religious place,9pm-12am,fine,3 wheeler,<1,right turn collision,poor light,15-17years,9-10std,alcohol intake,30-50,Surfaced Roads,single lane,round about junction,police controlled,without licence,female,Eastern Express Highway
Kopri,residential area,12am-3am,fine,"trucks ,tempos,tracto",2-4year,overturning,defect in road condition,55-64years,not known,passed on curve,50-70,muddy/oily/slippery,two lane,four arm junction,flashing signal/blinker,others,female,Kopri
Vasant Vihar,near hospital,9am-12pm,fine,2 wheeler,6-8year,collision brush/side swip,weather condition,15-17years,9-10std,failed to give signal,30-50,incline road,two lane,staggered jucntion,uncontolled,paid driver,male,Vasant Vihar
Kopri,near petrol pump,12pm-3pm,heavy rain,3 wheeler,6-8year,overturning,weather condition,6-9years,not known,other improper passsing,>70,Kutcha Roads,4 Lanes or more with central divider,unmanned rail crossing,police controlled,regular licence,female,Kopri
Kopri,near school/college,3am-6am,light rain,"car/jeep/taxi,buses(4 wheeler)",8-10year,collision brush/side swip,defect in condition of motor vehicle,35-44years,above 10th std,passed on curve,>70,Kutcha Roads,3 Lanes or more without central Divider Median,staggered jucntion,flashing signal/blinker,without licence,male,Kopri
Eastern Express Highway,at pedestrian crossing,9am-12pm,heavy rain,2 wheeler,1-2year,skiding,fault of pedestrian,6-9years,upto 8th std,excceding lawful speed,>70,incline road,two lane,staggered jucntion,traffic light signal,learners licence,female,Eastern Express Highway
Kopri,near or inside a village,3pm-6pm,fine,"trucks ,tempos,tracto",8-10year,hit and run,neglect of civic bodies,<5years,above 10th std,excceding lawful speed,>70,Surfaced Roads,4 Lanes or more with central divider,junction with >4 arms,traffic light signal,paid driver,male,Kopri
Eastern Express Highway,near bus stop,12pm-3pm,light rain,"trucks ,tempos,tracto",1-2year,hit and run,defect in condition of motor vehicle,35-44years,upto 8th std,passed on curve,30-50,speed breaker,4 Lanes or more with central divider,v junction,uncontolled,owner of private vehicle,male,Eastern Express Highway
Kolshet Road,open area,12am-3am,cloudy,other motor vehicles,1-2year,collision brush/side swip,fault of driver,15-17years,9-10std,excceding lawful speed,30-50,Kutcha Roads,3 Lanes or more without central Divider Median,round about junction,police controlled,others,female,Kolshet Road
Kopri,near school/college,3pm-6pm,heavy rain,"car/jeep/taxi,buses(4 wheeler)",<1,collision brush/side swip,weather condition,35-44years,upto 8th std,did not give right of way to vehicle,<30,incline road,two lane,t junction,traffic light signal,without licence,male,Kopri
Vasant Vihar,at pedestrian crossing,12pm-3pm,cloudy,other motor vehicles,8-10year,right turn collision,fault of driver,21-24years,not known,passed on curve,30-50,muddy/oily/slippery,two lane,t junction,flashing signal/blinker,paid driver,male,Vasant Vihar
Teen Hath Naka,near or inside a village,9pm-12am,fine,3 wheeler,8-10year,overturning,defect in road condition,25-34years,9-10std,alcohol intake,<30,muddy/oily/slippery,single lane,four arm junction,flashing signal/blinker,owner of public commercial vehicle,male,Teen Hath Naka
Teen Hath Naka,in bazar,3pm-6pm,fine,2 wheeler,1-2year,rear end collision,defect in condition of motor vehicle,65 and above,not known,failed to give signal,30-50,Wet road,3 Lanes or more without central Divider Median,staggered jucntion,stop sign,without licence,male,Teen Hath Naka
Teen Hath Naka,near office complex,12am-3am,cloudy,3 wheeler,2-4year,hit and run,fault of pedestrian,21-24years,not known,did not give right of way to pedestrian,50-70,Wet road,two lane,round about junction,stop sign,paid driver,female,Teen Hath Naka
Vasant Vihar,narrow bridge or culverts,9pm-12am,light rain,"car/jeep/taxi,buses(4 wheeler)",2-4year,rear end collision,fault of pedestrian,21-24years,upto 8th std,on wrong side of the road,<30,muddy/oily/slippery,3 Lanes or more without central Divider Median,four arm junction,police controlled,without licence,male,Vasant Vihar
Kopri,at pedestrian crossing,3am-6am,fine,2 wheeler,4-6year,hit and run,fault of pedestrian,55-64years,above 10th std,alcohol intake,30-50,Surfaced Roads,4 Lanes or more with central divider,t junction,uncontolled,owner of public commercial vehicle,male,Kopri
Kopri,open area,3pm-6pm,heavy rain,other motor vehicles,<1,right turn collision,fault of driver,21-24years,not known,other improper passsing,30-50,rutted/pot holes,3 Lanes or more without central Divider Median,junction with >4 arms,stop sign,learners licence,female,Kopri
Vasant Vihar,near school/college,3pm-6pm,fine,2 wheeler,>10,collision brush/side swip,weather condition,45-54years,upto 8th std,passed on curve,<30,rutted/pot holes,two lane,manned rail crossing,police controlled,paid driver,female,Vasant Vihar
Kopri,in bazar,6am-9am,cloudy,"trucks ,tempos,tracto",2-4year,rear end collision,defect in road condition,55-64years,above 10th std,did not give right of way to pedestrian,<30,incline road,two lane,four arm junction,flashing signal/blinker,owner of private vehicle,male,Kopri
Teen Hath Naka,near a religious place,3pm-6pm,heavy rain,"trucks ,tempos,tracto",>10,head on collision,neglect of civic bodies,<5years,9-10std,on wrong side of the road,50-70,Wet road,4 Lanes or more with central divider,manned rail crossing,traffic light signal,owner of public commercial vehicle,male,Teen Hath Naka
Kopri,at pedestrian crossing,6am-9am,fine,"car/jeep/taxi,buses(4 wheeler)",8-10year,hit and run,fault of driver,15-17years,upto 8th std,followed too closely,50-70,speed breaker,two lane,t junction,stop sign,learners licence,male,Kopri
Vasant Vihar,near petrol pump,9pm-12am,fine,3 wheeler,8-10year,skiding,defect in condition of motor vehicle,45-54years,upto 8th std,other improper passsing,>70,Kutcha Roads,two lane,staggered jucntion,uncontolled,paid driver,male,Vasant Vihar
Kopri,near petrol pump,3pm-6pm,heavy rain,"car/jeep/taxi,buses(4 wheeler)",4-6year,skiding,defect in road condition,6-9years,not known,passed on curve,>70,Kutcha Roads,single lane,v junction,flashing signal/blinker,regular licence,male,Kopri
Vasant Vihar,near or inside a village,12pm-3pm,heavy rain,2 wheeler,>10,rear end collision,fault of driver,55-64years,9-10std,passed on curve,>70,Wet road,4 Lanes or more with central divider,round about junction,traffic light signal,learners licence,female,Vasant Vihar
Eastern Express Highway,at pedestrian crossing,12pm-3pm,cloudy,3 wheeler,8-10year,head on collision,neglect of civic bodies,10-14years,not known,excceding lawful speed,<30,rutted/pot holes,two lane,v junction,uncontolled,without licence,female,Eastern Express Highway
Kolshet Road,near a recreation place/cinema,12am-3am,cloudy,"car/jeep/taxi,buses(4 wheeler)",1-2year,overturning,fault of pedestrian,21-24years,upto 8th std,did not give right of way to vehicle,30-50,rutted/pot holes,two lane,junction with >4 arms,stop sign,without licence,male,Kolshet Road
Ghodbander,near bus stop,12am-3am,fine,"car/jeep/taxi,buses(4 wheeler)",>10,rear end collision,fault of pedestrian,unknown age,above 10th std,failed to give signal,50-70,road under construction/repair,3 Lanes or more without central Divider Median,staggered jucntion,police controlled,others,male,Ghodbander
Kolshet Road,near school/college,3am-6am,cloudy,other motor vehicles,6-8year,hit and run,fault of driver,25-34years,upto 8th std,other improper passsing,>70,speed breaker,two lane,four arm junction,traffic light signal,others,female,Kolshet Road
Teen Hath Naka,at pedestrian crossing,6pm-9pm,light rain,3 wheeler,4-6year,right turn collision,fault of pedestrian,<5years,upto 8th std,passed on hill,30-50,straight road,two lane,v junction,traffic light signal,regular licence,female,Teen Hath Naka
Kopri,narrow bridge or culverts,12pm-3pm,cloudy,other motor vehicles,4-6year,collision brush/side swip,defect in condition of motor vehicle,55-64years,upto 8th std,did not give right of way to vehicle,50-70,incline road,single lane,v junction,flashing signal/blinker,learners licence,male,Kopri
Teen Hath Naka,near bus stop,6am-9am,cloudy,"car/jeep/taxi,buses(4 wheeler)",>10,rear end collision,fault of driver,18-20years,above 10th std,failed to give signal,>70,speed breaker,single lane,unmanned rail crossing,stop sign,others,male,Teen Hath Naka
Eastern Express Highway,near a factory or indu. Area,9pm-12am,light rain,3 wheeler,2-4year,head on collision,fault of pedestrian,55-64years,not known,alcohol intake,<30,rutted/pot holes,3 Lanes or more without central Divider Median,round about junction,stop sign,owner of private vehicle,female,Eastern Express Highway
Teen Hath Naka,near school/college,3am-6am,fine,"car/jeep/taxi,buses(4 wheeler)",6-8year,right turn collision,neglect of civic bodies,<5years,upto 8th std,passed on hill,30-50,Surfaced Roads,4 Lanes or more with central divider,manned rail crossing,uncontolled,learners licence,female,Teen Hath Naka
Teen Hath Naka,near or inside a village,3am-6am,light rain,"car/jeep/taxi,buses(4 wheeler)",6-8year,overturning,poor light,25-34years,upto 8th std,excceding lawful speed,50-70,Wet road,4 Lanes or more with central divider,t junction,flashing signal/blinker,others,female,Teen Hath Naka
Vasant Vihar,at pedestrian crossing,3am-6am,heavy rain,2 wheeler,6-8year,skiding,neglect of civic bodies,6-9years,not known,give improper signal,>70,road under construction/repair,3 Lanes or more without central Divider Median,junction with >4 arms,flashing signal/blinker,owner of public commercial vehicle,male,Vasant Vihar
Teen Hath Naka,in bazar,3pm-6pm,heavy rain,3 wheeler,2-4year,right turn collision,neglect of civic bodies,65 and above,above 10th std,failed to give signal,50-70,Wet road,3 Lanes or more without central Divider Median,round about junction,traffic light signal,owner of public commercial vehicle,female,Teen Hath Naka
Eastern Express Highway,near office complex,12pm-3pm,fine,"trucks ,tempos,tracto",4-6year,hit and run,neglect of civic bodies,65 and above,9-10std,cut in sharply after passing,50-70,Kutcha Roads,4 Lanes or more with central divider,round about junction,police controlled,regular licence,female,Eastern Express Highway
Kopri,residential area,9pm-12am,cloudy,other motor vehicles,8-10year,head on collision,poor light,15-17years,upto 8th std,did not give right of way to vehicle,>70,muddy/oily/slippery,3 Lanes or more without central Divider Median,v junction,traffic light signal,others,male,Kopri
Kopri,near a recreation place/cinema,6pm-9pm,cloudy,other motor vehicles,4-6year,skiding,fault of driver,18-20years,not known,followed too closely,30-50,speed breaker,two lane,staggered jucntion,stop sign,others,female,Kopri
Kolshet Road,at pedestrian crossing,9am-12pm,light rain,other motor vehicles,4-6year,overturning,fault of pedestrian,25-34years,not known,followed too closely,50-70,Kutcha Roads,3 Lanes or more without central Divider Median,four arm junction,uncontolled,regular licence,female,Kolshet Road
Kopri,narrow bridge or culverts,9am-12pm,heavy rain,2 wheeler,>10,head on collision,poor light,15-17years,above 10th std,give improper signal,30-50,incline road,3 Lanes or more without central Divider Median,unmanned rail crossing,flashing signal/blinker,owner of private vehicle,male,Kopri
Kopri,near petrol pump,9am-12pm,fine,3 wheeler,8-10year,rear end collision,defect in condition of motor vehicle,65 and above,upto 8th std,on wrong side of the road,50-70,Kutcha Roads,single lane,unmanned rail crossing,uncontolled,learners licence,male,Kopri
Vasant Vihar,near school/college,3pm-6pm,light rain,"car/jeep/taxi,buses(4 wheeler)",>10,rear end collision,neglect of civic bodies,15-17years,9-10std,alcohol intake,>70,Wet road,two lane,four arm junction,uncontolled,paid driver,male,Vasant Vihar
Vasant Vihar,near bus stop,9am-12pm,cloudy,"car/jeep/taxi,buses(4 wheeler)",1-2year,skiding,weather condition,21-24years,not known,did not give right of way to pedestrian,<30,incline road,single lane,v junction,flashing signal/blinker,paid driver,female,Vasant Vihar
Vasant Vihar,in bazar,6pm-9pm,heavy rain,"trucks ,tempos,tracto",1-2year,overturning,weather condition,10-14years,9-10std,failed to give signal,>70,Surfaced Roads,4 Lanes or more with central divider,junction with >4 arms,police controlled,paid driver,female,Vasant Vihar
Vasant Vihar,open area,6am-9am,light rain,2 wheeler,4-6year,skiding,defect in road condition,35-44years,above 10th std,excceding lawful speed,>70,Wet road,two lane,v junction,uncontolled,paid driver,male,Vasant Vihar
Kopri,narrow bridge or culverts,9am-12pm,heavy rain,other motor vehicles,1-2year,hit and run,fault of driver,65 and above,not known,excceding lawful speed,<30,Kutcha Roads,single lane,unmanned rail crossing,stop sign,others,female,Kopri
Teen Hath Naka,near petrol pump,9pm-12am,cloudy,other motor vehicles,<1,hit and run,poor light,15-17years,upto 8th std,passed on hill,50-70,speed breaker,4 Lanes or more with central divider,unmanned rail crossing,traffic light signal,without licence,male,Teen Hath Naka
Teen Hath Naka,open area,6pm-9pm,fine,"trucks ,tempos,tracto",>10,right turn collision,defect in road condition,<5years,above 10th std,passed on hill,>70,muddy/oily/slippery,two lane,v junction,stop sign,without licence,female,Teen Hath Naka
Kopri,near bus stop,12pm-3pm,cloudy,3 wheeler,<1,hit and run,defect in condition of motor vehicle,65 and above,above 10th std,cut in sharply after passing,<30,straight road,3 Lanes or more without central Divider Median,staggered jucntion,police controlled,others,male,Kopri
Ghodbander,near or inside a village,12am-3am,cloudy,other motor vehicles,8-10year,right turn collision,neglect of civic bodies,unknown age,upto 8th std,passed on curve,<30,Kutcha Roads,3 Lanes or more without central Divider Median,t junction,flashing signal/blinker,without licence,female,Ghodbander
Kopri,near bus stop,12pm-3pm,cloudy,2 wheeler,>10,rear end collision,defect in condition of motor vehicle,10-14years,not known,on wrong side of the road,>70,Wet road,single lane,v junction,traffic light signal,others,female,Kopri
Teen Hath Naka,open area,6am-9am,fine,other motor vehicles,4-6year,hit and run,weather condition,21-24years,above 10th std,did not give right of way to pedestrian,50-70,Wet road,3 Lanes or more without central Divider Median,staggered jucntion,uncontolled,owner of private vehicle,female,Teen Hath Naka
Vartak Nagar,near hospital,3pm-6pm,heavy rain,"car/jeep/taxi,buses(4 wheeler)",6-8year,skiding,fault of pedestrian,<5years,not known,alcohol intake,>70,speed breaker,two lane,round about junction,traffic light signal,without licence,male,Vartak Nagar
Majiwada,open area,6pm-9pm,cloudy,2 wheeler,8-10year,skiding,defect in road condition,18-20years,above 10th std,followed too closely,50-70,muddy/oily/slippery,single lane,manned rail crossing,stop sign,learners licence,male,Majiwada
Kapurbawdi,near a religious place,3pm-6pm,fine,"trucks ,tempos,tracto",6-8year,overturning,fault of driver,45-54years,above 10th std,give improper signal,30-50,muddy/oily/slippery,single lane,t junction,uncontolled,regular licence,male,Kapurbawdi
Kapurbawdi,narrow bridge or culverts,3pm-6pm,light rain,2 wheeler,8-10year,skiding,fault of pedestrian,25-34years,upto 8th std,excceding lawful speed,50-70,rutted/pot holes,two lane,unmanned rail crossing,police controlled,without licence,female,Kapurbawdi
Hiranandani Estate,near petrol pump,12am-3am,heavy rain,"trucks ,tempos,tracto",1-2year,hit and run,defect in road condition,18-20years,not known,followed too closely,50-70,Kutcha Roads,single lane,four arm junction,stop sign,without licence,female,Hiranandani Estate
Hiranandani Estate,near hospital,9pm-12am,light rain,2 wheeler,4-6year,collision brush/side swip,poor light,21-24years,upto 8th std,passed on hill,50-70,Surfaced Roads,4 Lanes or more with central divider,manned rail crossing,flashing signal/blinker,regular licence,female,Hiranandani Estate
Hiranandani Estate,in bazar,6pm-9pm,heavy rain,"car/jeep/taxi,buses(4 wheeler)",<1,right turn collision,fault of pedestrian,65 and above,9-10std,passed on hill,<30,muddy/oily/slippery,two lane,v junction,stop sign,owner of private vehicle,female,Hiranandani Estate
Majiwada,near hospital,3am-6am,fine,2 wheeler,6-8year,hit and run,weather condition,18-20years,upto 8th std,alcohol intake,>70,road under construction/repair,two lane,t junction,police controlled,owner of private vehicle,female,Majiwada
Hiranandani Estate,near bus stop,12am-3am,cloudy,"trucks ,tempos,tracto",>10,right turn collision,neglect of civic bodies,65 and above,above 10th std,cut in sharply after passing,>70,road under construction/repair,4 Lanes or more with central divider,staggered jucntion,stop sign,owner of private vehicle,female,Hiranandani Estate
Hiranandani Estate,residential area,6am-9am,light rain,"car/jeep/taxi,buses(4 wheeler)",4-6year,head on collision,poor light,55-64years,upto 8th std,did not give right of way to vehicle,<30,Kutcha Roads,4 Lanes or more with central divider,t junction,police controlled,others,female,Hiranandani Estate
Vartak Nagar,in bazar,6am-9am,fine,"car/jeep/taxi,buses(4 wheeler)",6-8year,overturning,fault of pedestrian,18-20years,upto 8th std,give improper signal,30-50,Wet road,3 Lanes or more without central Divider Median,manned rail crossing,police controlled,learners licence,male,Vartak Nagar
Kapurbawdi,at pedestrian crossing,12pm-3pm,fine,"trucks ,tempos,tracto",2-4year,rear end collision,poor light,55-64years,9-10std,passed on hill,50-70,muddy/oily/slippery,3 Lanes or more without central Divider Median,unmanned rail crossing,flashing signal/blinker,others,female,Kapurbawdi
Kapurbawdi,at pedestrian crossing,9pm-12am,fine,"trucks ,tempos,tracto",6-8year,skiding,fault of pedestrian,18-20years,9-10std,cut in sharply after passing,30-50,Surfaced Roads,single lane,unmanned rail crossing,uncontolled,paid driver,male,Kapurbawdi
Kapurbawdi,near bus stop,3am-6am,light rain,"trucks ,tempos,tracto",1-2year,head on collision,weather condition,15-17years,upto 8th std,failed to give signal,30-50,Wet road,4 Lanes or more with central divider,t junction,stop sign,paid driver,female,Kapurbawdi
Hiranandani Estate,in bazar,12am-3am,cloudy,"car/jeep/taxi,buses(4 wheeler)",2-4year,hit and run,defect in road condition,18-20years,not known,give improper signal,50-70,incline road,two lane,junction with >4 arms,stop sign,owner of public commercial vehicle,male,Hiranandani Estate
Majiwada,near a recreation place/cinema,3pm-6pm,fine,"car/jeep/taxi,buses(4 wheeler)",1-2year,rear end collision,defect in condition of motor vehicle,21-24years,not known,give improper signal,<30,Wet road,3 Lanes or more without central Divider Median,round about junction,stop sign,others,male,Majiwada
Majiwada,at pedestrian crossing,9am-12pm,light rain,3 wheeler,2-4year,overturning,defect in road condition,15-17years,above 10th std,passed on curve,30-50,incline road,4 Lanes or more with central divider,manned rail crossing,police controlled,without licence,female,Majiwada
Vartak Nagar,near office complex,9am-12pm,heavy rain,3 wheeler,6-8year,skiding,fault of driver,<5years,upto 8th std,passed on curve,>70,incline road,4 Lanes or more with central divider,junction with >4 arms,flashing signal/blinker,learners licence,male,Vartak Nagar
Majiwada,near a factory or indu. Area,3am-6am,fine,"trucks ,tempos,tracto",>10,right turn collision,weather condition,<5years,9-10std,other improper passsing,50-70,muddy/oily/slippery,4 Lanes or more with central divider,round about junction,uncontolled,owner of private vehicle,male,Majiwada
Kapurbawdi,near a recreation place/cinema,3am-6am,cloudy,other motor vehicles,2-4year,collision brush/side swip,fault of pedestrian,15-17years,above 10th std,on wrong side of the road,>70,Wet road,single lane,staggered jucntion,stop sign,owner of public commercial vehicle,male,Kapurbawdi
Vartak Nagar,narrow bridge or culverts,3pm-6pm,light rain,"trucks ,tempos,tracto",8-10year,skiding,poor light,<5years,9-10std,other improper passsing,50-70,muddy/oily/slippery,single lane,t junction,traffic light signal,paid driver,female,Vartak Nagar
Majiwada,open area,6am-9am,light rain,"car/jeep/taxi,buses(4 wheeler)",2-4year,overturning,fault of pedestrian,6-9years,9-10std,alcohol intake,>70,Wet road,4 Lanes or more with central divider,staggered jucntion,flashing signal/blinker,others,female,Majiwada
Majiwada,near a factory or indu. Area,12pm-3pm,fine,other motor vehicles,>10,collision brush/side swip,fault of pedestrian,45-54years,9-10std,give improper signal,30-50,Wet road,single lane,junction with >4 arms,police controlled,paid driver,female,Majiwada
Vartak Nagar,near office complex,3am-6am,light rain,3 wheeler,8-10year,collision brush/side swip,defect in condition of motor vehicle,15-17years,above 10th std,on wrong side of the road,>70,Kutcha Roads,two lane,manned rail crossing,uncontolled,owner of private vehicle,male,Vartak Nagar
Majiwada,near hospital,3am-6am,fine,3 wheeler,<1,skiding,fault of pedestrian,65 and above,above 10th std,other improper passsing,<30,speed breaker,4 Lanes or more with central divider,t junction,police controlled,regular licence,female,Majiwada
Hiranandani Estate,near hospital,6pm-9pm,cloudy,3 wheeler,<1,head on collision,poor light,<5years,9-10std,followed too closely,>70,Surfaced Roads,single lane,round about junction,stop sign,others,female,Hiranandani Estate
Vartak Nagar,near or inside a village,3pm-6pm,heavy rain,"trucks ,tempos,tracto",8-10year,overturning,defect in condition of motor vehicle,65 and above,upto 8th std,on wrong side of the road,<30,rutted/pot holes,single lane,four arm junction,police controlled,learners licence,female,Vartak Nagar
Hiranandani Estate,at pedestrian crossing,3pm-6pm,fine,other motor vehicles,6-8year,overturning,defect in condition of motor vehicle,unknown age,not known,cut in sharply after passing,30-50,speed breaker,single lane,staggered jucntion,stop sign,owner of private vehicle,male,Hiranandani Estate
Vartak Nagar,near or inside a village,6am-9am,light rain,3 wheeler,8-10year,overturning,fault of pedestrian,6-9years,upto 8th std,excceding lawful speed,30-50,speed breaker,two lane,junction with >4 arms,uncontolled,learners licence,male,Vartak Nagar
Majiwada,near or inside a village,9pm-12am,cloudy,2 wheeler,2-4year,right turn collision,defect in condition of motor vehicle,21-24years,upto 8th std,excceding lawful speed,30-50,speed breaker,two lane,four arm junction,uncontolled,owner of public commercial vehicle,male,Majiwada
Kapurbawdi,near bus stop,3am-6am,cloudy,2 wheeler,6-8year,head on collision,defect in condition of motor vehicle,35-44years,9-10std,other improper passsing,50-70,road under construction/repair,4 Lanes or more with central divider,t junction,uncontolled,learners licence,female,Kapurbawdi
Vartak Nagar,near office complex,12pm-3pm,fine,other motor vehicles,2-4year,right turn collision,fault of driver,6-9years,not known,other improper passsing,<30,road under construction/repair,single lane,t junction,uncontolled,owner of public commercial vehicle,male,Vartak Nagar
Majiwada,in bazar,3am-6am,heavy rain,"trucks ,tempos,tracto",8-10year,rear end collision,neglect of civic bodies,10-14years,upto 8th std,failed to give signal,>70,Kutcha Roads,3 Lanes or more without central Divider Median,junction with >4 arms,stop sign,others,male,Majiwada
Hiranandani Estate,near hospital,9pm-12am,cloudy,3 wheeler,2-4year,right turn collision,fault of pedestrian,15-17years,not known,give improper signal,<30,Wet road,single lane,four arm junction,traffic light signal,owner of public commercial vehicle,female,Hiranandani Estate
Hiranandani Estate,at pedestrian crossing,6pm-9pm,fine,"car/jeep/taxi,buses(4 wheeler)",8-10year,skiding,fault of pedestrian,18-20years,above 10th std,passed on hill,>70,road under construction/repair,single lane,staggered jucntion,uncontolled,paid driver,male,Hiranandani Estate
Kapurbawdi,near hospital,6am-9am,light rain,"car/jeep/taxi,buses(4 wheeler)",2-4year,head on collision,poor light,unknown age,above 10th std,did not give right of way to vehicle,<30,rutted/pot holes,3 Lanes or more without central Divider Median,t junction,flashing signal/blinker,others,male,Kapurbawdi
Kapurbawdi,near a religious place,12pm-3pm,cloudy,"car/jeep/taxi,buses(4 wheeler)",4-6year,collision brush/side swip,neglect of civic bodies,10-14years,above 10th std,excceding lawful speed,50-70,Kutcha Roads,single lane,t junction,police controlled,owner of public commercial vehicle,female,Kapurbawdi
Hiranandani Estate,open area,9pm-12am,fine,"car/jeep/taxi,buses(4 wheeler)",2-4year,collision brush/side swip,weather condition,21-24years,not known,failed to give signal,<30,muddy/oily/slippery,single lane,manned rail crossing,flashing signal/blinker,learners licence,male,Hiranandani Estate
Vartak Nagar,near bus stop,6am-9am,light rain,3 wheeler,8-10year,collision brush/side swip,fault of pedestrian,18-20years,9-10std,cut in sharply after passing,50-70,speed breaker,single lane,junction with >4 arms,uncontolled,paid driver,female,Vartak Nagar
Majiwada,near a factory or indu. Area,12am-3am,fine,"trucks ,tempos,tracto",4-6year,skiding,defect in road condition,25-34years,not known,excceding lawful speed,30-50,Wet road,3 Lanes or more without central Divider Median,junction with >4 arms,uncontolled,regular licence,female,Majiwada
Hiranandani Estate,at pedestrian crossing,9pm-12am,heavy rain,other motor vehicles,4-6year,right turn collision,defect in condition of motor vehicle,35-44years,9-10std,alcohol intake,30-50,straight road,single lane,junction with >4 arms,uncontolled,regular licence,male,Hiranandani Estate
Kapurbawdi,near hospital,12am-3am,light rain,2 wheeler,2-4year,collision brush/side swip,weather condition,18-20years,not known,followed too closely,>70,Surfaced Roads,3 Lanes or more without central Divider Median,junction with >4 arms,uncontolled,others,male,Kapurbawdi
Hiranandani Estate,near a factory or indu. Area,9pm-12am,light rain,3 wheeler,2-4year,skiding,weather condition,6-9years,above 10th std,passed on curve,50-70,incline road,two lane,t junction,uncontolled,owner of public commercial vehicle,female,Hiranandani Estate
Hiranandani Estate,near school/college,6pm-9pm,light rain,"car/jeep/taxi,buses(4 wheeler)",2-4year,collision brush/side swip,weather condition,45-54years,upto 8th std,excceding lawful speed,<30,speed breaker,4 Lanes or more with central divider,four arm junction,police controlled,learners licence,male,Hiranandani Estate
Vartak Nagar,at pedestrian crossing,3pm-6pm,heavy rain,"trucks ,tempos,tracto",<1,overturning,neglect of civic bodies,10-14years,9-10std,on wrong side of the road,50-70,muddy/oily/slippery,4 Lanes or more with central divider,staggered jucntion,flashing signal/blinker,learners licence,male,Vartak Nagar
Kapurbawdi,near office complex,3am-6am,light rain,2 wheeler,6-8year,rear end collision,weather condition,15-17years,not known,followed too closely,50-70,Kutcha Roads,4 Lanes or more with central divider,t junction,uncontolled,learners licence,female,Kapurbawdi
